URL,Project Name,Contractor,Address,Size,Project Size,Launch Date,Avg. Price,Possession Starts,Configuration,Rera Id,Sizes,Configurations,Possession Status
https://housing.com/buy-kalash-by-aurous-buildcon-llp-in-maninagar-ahmedabad-pid-251260?fltcnt=16dd159b-c007-4b37-b6a5-b3eaf061378c,Kalash,AUROUS BUILDCON LLP,"Near RSS Bhavan, Maninagar, South Ahmedabad, Ahmedabad",,1 Building - 160 units,"Jul, 2020",47.00 K/sq.yd,"Jun, 2024",,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07457/150920,141.00 sq.yd. - 196.00 sq.yd.,"2, 3 BHK Apartments",
https://housing.com/buy-sierra-by-shannon-projects-llp-in-satellite-ahmedabad-pid-301658?fltcnt=76bf0bd2-c287-495c-b1e1-f0440e659ad8,Sierra,SHANNON PROJECTS LLP,"Off.Jansi Ki Rani, Shivranjani, Manekbaug Road, Satellite, S G Highway, Ahmedabad",4200.00 sq.ft.,2 Buildings - 80 units,"Jun, 2023",8.19 K/sq.ft,"Dec, 2025",4 BHK Apartment,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/RAA12003/220623,,,
https://housing.com/buy-devsiddhi-greens-by-devsiddhi-group-in-navrangpura-ahmedabad-pid-289756?fltcnt=76d9c6e9-ae71-4216-bc62-bdfcbd605e48,Devsiddhi Greens,DEVSIDDHI GROUP,"Near H.L. Collage, Opp. Commerce Collage Hostel, Navrangpura, Central Ahmedabad, Ahmedabad",2000.00 sq.ft.,1 Building - 18 units,"Dec, 2022",6.70 K/sq.ft,"Apr, 2024",3 BHK Apartment,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10983/291122,,,
https://housing.com/buy-dharti-skyline-by-dharti-infracon-in-jagatpur-ahmedabad-pid-285032?fltcnt=7896aae5-3ecd-44a0-8e79-c5c6e6c076e3,Dharti Skyline,DHARTI INFRACON,"Besides Godrej, Garden City, Jagatpur, Ahmedabad",,10 Buildings - 486 units,"Oct, 2022",8.21 K/sq.ft,"Dec, 2025",,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA10375/300622,639.00 sq.ft. - 872.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-eternity-by-ratnaakar-by-ratnaakar-in-iscon-ambli-road-ahmedabad-pid-300475?fltcnt=3325ea6f-3474-40fe-a8a3-6fe030c16a04,Eternity by Ratnaakar,RATNAAKAR,"Nr DoubleTree by Hilton, Iskcon-Ambli Road, Opposite Ashok Vatika, S G Highway, Ahmedabad",,1 Building - 57 units,"May, 2023",Price on request,"Mar, 2028",,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11871/300523,6475.00 sq.ft. - 8450.00 sq.ft.,"4, 5 BHK Apartments",
https://housing.com/buy-suhaal-serenity-by-suhaal-group-in-zundal-gandhinagar-gujarat-pid-295803?fltcnt=6b61946d-d207-4e9f-b34c-ea00665543c5,Suhaal Serenity,CAPITALZ REALTORS,"Shree Hari Divine, Next To RJ Prime, Zundal, Gandhinagar",,3 Buildings - 146 units,"Apr, 2023",32.50 K/sq.yd,"Dec, 2026",3 BHK Apartment,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11414/060323,205.00 sq.yd. - 208.00 sq.yd.,,
https://housing.com/buy-kopren-park-view-by-shoolin-developers-in-ognaj-ahmedabad-pid-288003?fltcnt=ac763949-13cf-4df0-a0ea-a242eb36c8d3,Kopren Park View,SHOOLIN DEVELOPERS,"Science City Approach Road,Ognaj Bypass Road, Ahmedabad",,4 Buildings - 136 units,"Oct, 2022",37.68 K/sq.yd,"Dec, 2024",,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN228AA10128/211022,142.00 sq.yd. - 195.00 sq.yd.,"2, 3 BHK Apartments",
https://housing.com/buy-gala-ikebana-by-gala-group-in-bodakdev-ahmedabad-pid-291609?fltcnt=bae333af-f8e0-4e14-a78a-ee3466c517ac,Gala Ikebana,GALA GROUP,"Besides Courtyard Marriott, Bh. Rajpath Club, Sindhubhavan Road, S G Highway, Ahmedabad",7300.00 sq.ft.,3 Buildings - 119 units,"Aug, 2023",8.22 K/sq.ft,"Jul, 2027",5 BHK Apartment,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA10949/191122,,,
https://housing.com/buy-shiv-vivanta-by-rudra-enterprise-in-chandkheda-ahmedabad-pid-309012?fltcnt=8bb4c404-d539-4995-a740-37dc0e66022d,Shiv Vivanta,RUDRA ENTERPRISE,"Shiv Vivanta, Opp. Merriment Parmeshwar, T.P. No. 75, Chandkheda, Ahmedabad",,2 Buildings - 81 units,"Jun, 2022",6.84 K/sq.ft,"Dec, 2024","3 BHK Apartment, Penthouse",PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RN81AA09981/180622,1182.00 sq.ft. - 1184.00 sq.ft.,,
https://housing.com/buy-sthapatya-heights-by-sthapatya-buildcon-in-odhav-ahmedabad-pid-259721?fltcnt=1d3b4ab2-6263-4b25-b0f4-2b43981f8b8e,Sthapatya Heights,STHAPATYA HEIGHTS,"Singarwa, Odhav, Daskroi, Ahmedabad",,10 Buildings - 276 units,"May, 2021",15.76 K/sq.yd,"Mar, 2025",2 BHK Apartment,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA08489/240521,126.00 sq.yd. - 127.00 sq.yd.,,
https://housing.com/buy-swastik-saffron-by-swastik-reality-in-nana-chiloda-ahmedabad-pid-283214?fltcnt=788b2464-3166-4bc3-9f29-a47debafdb96,Swastik Saffron,SWASTIK REALITY,"Swastik Saffron, Opp Kanan Residency, Behind Shyam Elegance, New Shahibaug, Nana Chiloda, Ahmedabad",,6 Buildings - 168 units,,2.65 K/sq.ft,"Dec, 2025",,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN153AA10053/170822,1512.00 sq.ft. - 1944.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-bhagwat-enclave-by-gajanand-corporation-in-new-maninagar-ahmedabad-pid-251861?fltcnt=cf7c7d86-c979-4095-9c06-bf9699b6b525,Bhagwat Enclave,GAJANAND CORPORATION,"Near Ashray Bunglow, Baroda Express Highway, New CTM, East Ahmedabad, Ahmedabad",,5 Buildings - 186 units,"Oct, 2020",2.63 K/sq.ft,"Dec, 2022",,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA07550/121020,1250.00 sq.ft. - 1600.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-lhp-tanishk-enclave-by-lhp-infrastructure-pvt-ltd-in-chandkheda-ahmedabad-pid-133893?fltcnt=2e9e1f6e-22b1-4041-833a-7f9994df9dbf,LHP Tanishk Enclave,LHP INFRASTRUCTURE PVT LTD,"Behind Sungrace Arcade, Visat, Sona Cross Rd, Motera, Ahmedabad",,2 Buildings - 72 units,"Jun, 2019",4.80 K/sq.ft,,3 BHK Apartment,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04848/140219,2316.00 sq.ft. - 2678.00 sq.ft.,,Ready to Move
https://housing.com/buy-aryan-elegance-by-shree-radhekrishna-group-in-paldi-ahmedabad-pid-309320?fltcnt=dfd36657-b384-4087-b134-63a7ee8e71d4,Aryan Elegance,MEHTA ESTATE BROKER,"Nr Chandranagar BRTS Bus Stop, PT Collage Road, Paldi, Ahmedabad",,6 Buildings - 280 units,"Oct, 2023",52.55 K/sq.yd,"Dec, 2026",3 BHK Apartment,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12444/131023,196.00 sq.yd. - 245.00 sq.yd.,,
https://housing.com/buy-ralsi-rivera-by-shri-ram-developers-in-ghuma-ahmedabad-pid-302258?fltcnt=3996a3ac-436a-43d9-8919-3f5d1f54fdb4,Ralsi Rivera,SHRI RAM DEVELOPERS,"Ghuma, Ahmedabad",,1 Building - 138 units,"Jul, 2023",3.48 K/sq.ft,"Dec, 2025",,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12050/010723,1270.00 sq.ft. - 1750.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-hindva-skylife-by-hindva-developers-llp-in-nava-naroda-ahmedabad-pid-282743?fltcnt=57ba886d-c674-4133-b2cb-82768550603c,Hindva Skylife,HINDVA DEVELOPERS LLP,"Haridarshan to Kathwada Road, Nr.Shyam Kutir, Hanspura, Nava Naroda, Ahmedabad",,5 Buildings - 224 units,"May, 2022",6.59 K/sq.ft,"Jul, 2024",,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09970/280322,607.00 sq.ft. - 815.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-aastha-athens-by-aastha-realty-in-navrangpura-ahmedabad-pid-311163?fltcnt=44a7e2b3-02e6-4599-8dfe-c2221e02c5ba,Aastha Athens,AASTHA REALTY,"Nr HDFC Bank, Opp Vitthal Vadi Society, Navrangpura, Central Ahmedabad, Ahmedabad",,1 Building - 20 units,"Jun, 2023",Price on request,"Mar, 2028",4 BHK Apartment,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12341/290923,357.00 sq.yd. - 452.00 sq.yd.,,
https://housing.com/buy-shivansh-the-grove-by-shivansh-infracon-in-vaishno-devi-circle-ahmedabad-pid-296180?fltcnt=aafd9809-53ef-4b54-a5ce-6a70b980cc51,Shivansh The Grove,SHIVANSH INFRACON,"Nr. Aditya Prime, Lubi Corporate House, Khoraj, Ahmedabad",205.00 sq.yd.,4 Buildings - 168 units,"Apr, 2023",35.00 K/sq.yd,"Dec, 2026",3 BHK Apartment,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11527/290323,,,
https://housing.com/buy-raghuvir-aryaman-kalpvruksh-by-raghuvir-buildcon-in-hathijan-ahmedabad-pid-299498?fltcnt=735d399c-d480-4fcc-a640-9bb4abc67eaf,Raghuvir Aryaman Kalpvruksh,RAGHUVIR BUILDCON,"ARYAMAN KALPVRUKSH Nr. Divine Gurukulam, Lalgebi Circle, S.P Ring Roadd, Hathijan, Ahmedabad",,5 Buildings - 234 units,"May, 2023",5.84 K/sq.ft,"Oct, 2026",,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11784/180523,547.00 sq.ft. - 847.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-shree-radhe-hills-by-samrudhdhi-developers-in-nava-naroda-ahmedabad-pid-289608?fltcnt=609dd597-94fc-4c69-b799-23f9145651f7,Shree Radhe Hills,SAMRUDHDHI DEVELOPERS,"Nava Naroda, Ahmedabad",,2 Buildings - 104 units,"Dec, 2022",Price on request,"Jul, 2027",3 BHK Apartment,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN259AA10159/021222,2178.00 sq.ft. - 2214.00 sq.ft.,,
https://housing.com/buy-sarva-one-26-by-sarva-developers-in-vaishno-devi-circle-ahmedabad-pid-300176?fltcnt=07a791d8-7579-4805-973f-a5184766a5e0,Sarva One 26,PROPERTYPRO REALTY,"SP Ring Road, Near Vaishno Devi Circle On SG Highway, Ahmedabad",,3 Buildings - 126 units,"May, 2023",36.00 K/sq.yd,"Mar, 2028",3 BHK Apartment,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11813/220523,205.00 sq.yd. - 212.00 sq.yd.,,
https://housing.com/buy-shreeji-elegance-by-shreeji-infra-in-nava-naroda-ahmedabad-pid-269879?fltcnt=0e34e30c-cdb2-47f3-bc05-d84e945b98af,Shreeji Elegance,SHREEJI INFRA,"Besides Shreeji Heights & Laxmi Sky City, Opp Kalash & Rajvan Party Plot,Near Dastan Circle, S P Ring Road, Hanspura, Nava Naroda, Ahmedabad",,7 Buildings - 308 units,"Dec, 2021",Price on request,"Dec, 2025",,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09508/201221,133.00 sq.yd. - 277.00 sq.yd.,"2, 3 BHK Apartments",
https://housing.com/buy-dharti-skyline-by-dharti-infracon-in-jagatpur-ahmedabad-pid-285032?fltcnt=7896aae5-3ecd-44a0-8e79-c5c6e6c076e3,Dharti Skyline,DHARTI INFRACON,"Besides Godrej, Garden City, Jagatpur, Ahmedabad",,10 Buildings - 486 units,"Oct, 2022",8.21 K/sq.ft,"Dec, 2025",,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA10375/300622,639.00 sq.ft. - 872.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-rajyash-regius-by-rajyash-group-in-bopal-ahmedabad-pid-266058?fltcnt=912a8092-5293-42bc-b22c-68a53efafc13,Rajyash Regius,RAJYASH GROUP,"Besides TRP Mall, Central Bopal, Rajyash City, SP ring road west, Ahmedabad",,10 Buildings - 438 units,,Price on request,"Dec, 2024",,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09171/111021,2960.00 sq.ft. - 6390.00 sq.ft.,"4, 5 BHK Apartments",
https://housing.com/buy-raghuvir-aryaman-residency-by-raghuvir-infra-ahmedabad-in-narolgam-ahmedabad-pid-278551?fltcnt=0204a8a9-430d-4ef0-a4fd-2eff99c484c5,Raghuvir Aryaman Residency,RAGHUVIR INFRA AHMEDABAD,"Near Tirth 2, Divin life International School Lane, Shree Ram Residency Road, Narol Gam, South Ahmedabad, Ahmedabad",,5 Buildings - 210 units,,22.00 K/sq.yd,"Dec, 2026",,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09944/220322,88.00 sq.yd. - 136.00 sq.yd.,"1, 2 BHK Apartments",
https://housing.com/buy-lotus-heights-by-shanti-infra-ahmedabad-in-isanpur-ahmedabad-pid-264894?fltcnt=4714f7f0-fd08-48e9-954f-98b088ac14df,Lotus Heights,SHANTI INFRA AHMEDABAD,"Opp. Zarna Party Plot, Ghodasar Canal Road, Isanpur, East Ahmedabad, Ahmedabad",,5 Buildings - 133 units,"Sep, 2021",2.08 K/sq.ft,"Dec, 2024",2 BHK Apartment,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA08992/070921,1125.00 sq.ft. - 1350.00 sq.ft.,,
https://housing.com/buy-aarohi-vivianna-by-siddhi-developers-in-ghuma-ahmedabad-pid-265103?fltcnt=e22dc091-ded7-44ac-a277-a0b5739b77aa,Aarohi Vivianna,SIDDHI BY AAROHI,"South Bopal, Ahmedabad",1700.00 sq.ft.,4 Buildings - 220 units,"Sep, 2021",3.96 K/sq.ft,"Jul, 2024",3 BHK Apartment,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09079/200921,,,
https://housing.com/buy-murlidhar-sky-by-spelndid-infrabuild-llp-in-isanpur-ahmedabad-pid-264571?fltcnt=d209ef88-5a4b-411d-ae4d-b8f713696ca3,Murlidhar Sky,SPELNDID INFRABUILD LLP,"Near Maruti Suzuki Arena, Narol-Isanpur Brts Road, Isanpur, East Ahmedabad, Ahmedabad",,8 Buildings - 476 units,"Sep, 2021",26.58 K/sq.yd,,,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09028/090921,127.00 sq.yd. - 149.00 sq.yd.,"2, 3 BHK Apartments",Under Construction
https://housing.com/buy-saral-heights-and-the-east-gate-by-saral-buildcon-in-vastral-ahmedabad-pid-232825?fltcnt=e89bd3bf-6730-4e07-9a5e-e4b96f9b2e04,Saral Heights And The East Gate,SARAL BUILDCON,"Opp R.F. Camp, S.P. Ring Road, East Ahmedabad, Ahmedabad",,6 Buildings - 236 units,"Mar, 2020",Price on request,,,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA06876/120320,150.00 sq.yd. - 195.00 sq.yd.,"2, 3 BHK Apartments",Under Construction
https://housing.com/buy-lycka-life-by-lycka-properties-private-limited-in-sola-ahmedabad-pid-275693?fltcnt=43095c25-6116-4062-a43b-c184f3390ed4,Lycka Life,LYCKA PROPERTIES PRIVATE LIMITED,"SG Highway, Nr. Science City Rd., Nr. Sola Flyover, S G Highway, Ahmedabad",,2 Buildings - 84 units,"Mar, 2022",5.87 K/sq.ft,"Apr, 2024",3 BHK Apartment,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09961/230322,,,
https://housing.com/buy-festival-o2-by-the-festival-group-in-gota-ahmedabad-pid-298947?fltcnt=a553d31d-7c6e-4976-a230-912db003ae6c,Festival O2,THE FESTIVAL GROUP,"Next To Oxygen Park, Nr. Vrundavan 6 Bungalows, New Science City Road, Ahmedabad",195.00 sq.yd.,6 Buildings - 281 units,"May, 2023",40.00 K/sq.yd,"Mar, 2026",3 BHK Apartment,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11722/060523,,,
https://housing.com/buy-shree-sadan-17-by-shreekunj-dhara-in-vasna-ahmedabad-pid-293994?fltcnt=d9d67ab0-16ca-48a1-bb78-95adcf752456,Shree Sadan 17,SHREEKUNJ DHARA,"Near Swaminarayan Park-4, South Vasna, Central Ahmedabad, Ahmedabad",,11 Buildings - 444 units,"Feb, 2023",4.13 K/sq.ft,"Mar, 2025",2 BHK Apartment,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11341/030323,1080.00 sq.ft. - 1216.00 sq.ft.,,
https://housing.com/buy-the-evans-by-tri-realty-in-tragad-ahmedabad-pid-278574?fltcnt=87c985c6-05e9-4ed3-8abd-ca179c1f37f4,The Evans,TRI REALTY,"Tragad Road, Near Greenaura, Chandkheda, Ahmedabad",205.00 sq.yd.,4 Buildings - 120 units,"Jun, 2022",34.00 K/sq.yd,"Dec, 2026",3 BHK Apartment,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MN62AA09962/060622,,,
https://housing.com/buy-rhythm-aura-by-rhythm-group-in-bopal-ahmedabad-pid-297300?fltcnt=0a5fdef2-ff69-44b5-aa16-cbcab61014c4,Rhythm Aura,RHYTHM GROUP,"Behind Flora Ixora, Near Kavisha Urbania, South Bopal, Ahmedabad",1761.00 sq.ft.,4 Buildings - 125 units,,3.55 K/sq.ft,"Jun, 2025",3 BHK Apartment,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA11740/090523,,,
